# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.148438  0.0234375  0.889756  0.636448
0.148438  0.0390625  0.944547  0.665029
0.148438  0.0546875  0.930123  0.657584
0.148438  0.0703125  0.936725  0.660999
0.148438  0.0859375  0.925766  0.655324
0.148438  0.101562  1.06787  0.726519
0.148438  0.117188  1.02347  0.704815
0.148438  0.132812  1.67596  0.984309
0.148438  0.148438  1.12914  0.755717
0.148438  0.164062  1.12681  0.754622
0.148438  0.179688  1.18077  0.779678
0.148438  0.195312  1.1725  0.775877
0.148438  0.210938  1.12108  0.751924
0.148438  0.226562  1.01025  0.698258
0.148438  0.242188  0.931701  0.658401
0.148438  0.257812  0.916259  0.650375
0.148438  0.273438  0.90847  0.646302
0.148438  0.289062  0.883143  0.632942
0.148438  0.304688  0.867565  0.624635
0.148438  0.320312  2.38387  1.21902
0.148438  0.335938  1.66561  0.980434
0.148438  0.351562  0.717519  0.540881
0.148438  0.367188  0.722184  0.543594
0.148438  0.382812  0.821051  0.599414
0.148438  0.398438  0.94088  0.663141
0.148438  0.414062  1.03221  0.709126
0.148438  0.429688  0.967455  0.676741
0.148438  0.445312  0.933178  0.659165
0.148438  0.460938  0.933265  0.65921
0.148438  0.476562  0.9792  0.682693
0.148438  0.492188  0.916579  0.650542
0.148438  0.507812  0.821227  0.59951
0.148438  0.523438  0.761471  0.566149
0.148438  0.539062  0.779475  0.576318
0.148438  0.554688  0.835659  0.607404
0.148438  0.570312  0.88312  0.63293
0.148438  0.585938  0.918465  0.651525
0.148438  0.601562  0.984565  0.6854
0.148438  0.617188  0.873666  0.627897
0.148438  0.632812  0.67274  0.514463
0.148438  0.648438  0.579547  0.457138
0.148438  0.664062  0.599832  0.469898
0.148438  0.679688  0.421739  0.351881
0.148438  0.695312  0.402639  0.338355
0.148438  0.710938  0.407336  0.341699
0.148438  0.726562  0.458144  0.377164
0.148438  0.742188  0.444506  0.367767
0.148438  0.757812  0.350733  0.300648
0.148438  0.773438  0.298054  0.260866
0.148438  0.789062  0.515452  0.415714
0.148438  0.804688  1.00537  0.695827
0.148438  0.820312  0.705643  0.533942
0.148438  0.835938  0.39365  0.331926
0.148438  0.851562  0.34622  0.297301
0.148438  0.867188  0.461678  0.379585
0.148438  0.882812  0.820644  0.599191
0.148438  0.898438  0.817486  0.597454
0.148438  0.914062  0.714755  0.53927
0.148438  0.929688  0.595513  0.467195
0.148438  0.945312  0.624369  0.48512
0.148438  0.960938  0.667941  0.51159
0.148438  0.976562  0.794266  0.584596
0.148438  0.992188  0.892194  0.637737

0.164062  0.0078125  0.956223  0.671016
0.164062  0.0234375  0.929374  0.657196
0.164062  0.0390625  0.99309  0.689686
0.164062  0.0546875  0.958825  0.672345
0.164062  0.0703125  1.0044  0.695343
0.164062  0.0859375  1.11281  0.74802
0.164062  0.101562  1.88052  1.05797
0.164062  0.117188  1.66086  0.97865
0.164062  0.132812  1.09419  0.739168
0.164062  0.148438  0.535116  0.428606
0.164062  0.164062  0.779245  0.576189
0.164062  0.179688  0.94493  0.665226
0.164062  0.195312  0.980916  0.683559
0.164062  0.210938  1.00135  0.693823
0.164062  0.226562  0.979053  0.682618
0.164062  0.242188  0.930564  0.657812
0.164062  0.257812  0.906903  0.64548
0.164062  0.273438  0.780438  0.576859
0.164062  0.289062  0.808151  0.592305
0.164062  0.304688  0.781025  0.577189
0.164062  0.320312  2.1829  1.15779
0.164062  0.335938  1.33596  0.848425
0.164062  0.351562  1.09936  0.741631
0.164062  0.367188  0.821894  0.599877
0.164062  0.382812  0.845887  0.61296
0.164062  0.398438  0.922391  0.653569
